batch_id,drug_id,manufacturer,manufacture_date,shelf_life_months,current_stock_days,units_in_stock,turnover_rate,avg_regional_demand,storage_temp_variability,last_movement_days_ago,will_expire_soon,formulation,drug_type
BATCH_000037,DRUG_345,Manufacturer_50,08-06-2024,17,215,480,184.81,443.95,1.89,169,0,ointment,antihistamine
BATCH_000038,DRUG_49,Manufacturer_15,08-04-2023,15,-273,526,127.7,229.65,3.36,22,1,tablet,antihistamine
BATCH_000039,DRUG_475,Manufacturer_42,22-03-2024,25,381,521,448.82,203.96,1.79,3,0,capsule,antihistamine
BATCH_000040,DRUG_59,Manufacturer_7,20-08-2023,11,-261,522,197.75,311.4,1,95,1,injection,antacid
BATCH_000041,DRUG_170,Manufacturer_40,29-08-2022,13,-556,478,148.57,245.03,4.96,3,1,tablet,painkiller
BATCH_000042,DRUG_476,Manufacturer_28,21-11-2024,18,411,512,466.54,545.64,1.29,90,0,injection,supplement
BATCH_000043,DRUG_188,Manufacturer_32,23-06-2022,7,-805,495,106.7,117.92,1.35,122,1,capsule,supplement
BATCH_000044,DRUG_464,Manufacturer_35,20-03-2024,34,652,501,375.3,448.46,4.29,103,0,capsule,antihistamine
BATCH_000045,DRUG_271,Manufacturer_15,31-12-2024,24,634,476,329.85,385.99,4.11,79,0,tablet,supplement
BATCH_000046,DRUG_190,Manufacturer_48,07-06-2023,27,152,522,461.04,493.47,4.9,29,0,capsule,antifungal
BATCH_000047,DRUG_446,Manufacturer_36,06-04-2024,15,91,502,417.7,348.37,0.82,101,0,ointment,supplement
BATCH_000048,DRUG_175,Manufacturer_21,04-07-2023,9,-369,518,355.59,396.25,0.92,160,0,capsule,antibiotic
BATCH_000049,DRUG_446,Manufacturer_6,25-07-2023,17,-104,527,164.14,579.51,2.52,160,1,injection,antifungal
BATCH_000050,DRUG_51,Manufacturer_1,11-10-2024,23,523,510,252.83,100.58,3.16,19,0,injection,antifungal
BATCH_000051,DRUG_364,Manufacturer_4,23-09-2022,12,-561,503,472.8,107.68,0.67,47,0,injection,supplement
BATCH_000052,DRUG_55,Manufacturer_11,10-10-2022,25,-148,510,21.37,266.48,1.21,26,1,injection,antacid
BATCH_000053,DRUG_244,Manufacturer_44,08-12-2022,29,32,495,399.22,310,3.67,159,0,ointment,antihistamine
BATCH_000054,DRUG_320,Manufacturer_26,07-02-2025,29,824,493,133.39,159.93,3.51,154,0,syrup,painkiller
BATCH_000055,DRUG_131,Manufacturer_37,02-01-2025,28,758,460,100.66,95.47,0.9,24,0,tablet,painkiller
BATCH_000056,DRUG_485,Manufacturer_23,29-01-2023,31,145,500,123.79,62.2,4.69,65,0,injection,antibiotic
BATCH_000057,DRUG_307,Manufacturer_29,12-01-2023,30,98,491,39.28,470.53,1.65,11,0,capsule,painkiller
BATCH_000058,DRUG_135,Manufacturer_21,12-02-2024,9,-146,505,496.07,316.78,4.49,100,0,injection,painkiller
BATCH_000059,DRUG_21,Manufacturer_48,18-06-2022,12,-658,489,436.24,513.87,4.65,173,0,capsule,antihistamine
BATCH_000060,DRUG_329,Manufacturer_45,25-03-2024,15,79,473,265.32,248.46,2.71,47,0,capsule,antihistamine
BATCH_000061,DRUG_167,Manufacturer_45,01-09-2023,31,360,503,360.4,436.9,2.35,111,0,injection,antacid
BATCH_000062,DRUG_274,Manufacturer_49,18-03-2023,20,-142,524,282.73,318.69,1.75,105,0,ointment,antibiotic
BATCH_000063,DRUG_388,Manufacturer_27,19-10-2022,17,-383,496,407.67,386.64,4.13,84,0,capsule,painkiller
BATCH_000064,DRUG_89,Manufacturer_39,06-06-2022,6,-853,515,423.93,253.61,1.38,36,0,capsule,antacid
BATCH_000065,DRUG_316,Manufacturer_40,16-10-2024,25,589,512,124.07,94.64,3.3,131,0,injection,antibiotic
BATCH_000066,DRUG_14,Manufacturer_13,22-04-2022,23,-380,535,235.28,571.06,3.05,89,0,capsule,antifungal
BATCH_000067,DRUG_242,Manufacturer_23,24-04-2022,30,-165,505,321.08,509.85,1.62,70,0,capsule,painkiller
BATCH_000068,DRUG_265,Manufacturer_16,28-09-2022,21,-282,489,489.44,221.54,4.92,101,0,injection,painkiller
BATCH_000069,DRUG_346,Manufacturer_30,02-10-2023,10,-248,501,344.52,577.29,4.31,174,0,injection,antihistamine
BATCH_000070,DRUG_53,Manufacturer_4,30-11-2022,24,-128,479,449.84,215.27,0.59,46,0,tablet,supplement
BATCH_000071,DRUG_386,Manufacturer_40,02-11-2024,9,118,479,424.59,293.64,2.4,119,0,ointment,antibiotic
BATCH_000072,DRUG_340,Manufacturer_16,28-09-2022,11,-587,501,295.21,465.32,2.12,16,0,ointment,painkiller
BATCH_000073,DRUG_92,Manufacturer_31,03-11-2024,31,789,506,447.89,219.95,4.47,31,0,capsule,antibiotic
BATCH_000074,DRUG_367,Manufacturer_42,04-02-2025,22,608,467,194.94,228.48,1.69,137,0,ointment,antacid
BATCH_000075,DRUG_444,Manufacturer_25,26-10-2023,12,-163,506,195.85,275.55,4.99,177,1,capsule,antacid
BATCH_000076,DRUG_455,Manufacturer_44,14-04-2024,29,525,505,392.67,307.61,1.4,17,0,tablet,supplement
BATCH_000077,DRUG_428,Manufacturer_12,19-06-2024,28,561,515,75.93,117.99,1.6,162,0,injection,painkiller
BATCH_000078,DRUG_264,Manufacturer_26,14-01-2023,12,-448,506,159.85,59.62,3.5,5,1,injection,antihistamine
BATCH_000079,DRUG_431,Manufacturer_37,26-01-2025,14,356,535,308.2,555.54,1.22,2,0,injection,painkiller
BATCH_000080,DRUG_35,Manufacturer_48,02-10-2024,18,361,524,215.83,244.25,4.5,34,0,ointment,antibiotic
BATCH_000081,DRUG_206,Manufacturer_33,26-06-2023,25,111,509,470.95,105.93,0.99,76,0,tablet,antifungal
BATCH_000082,DRUG_81,Manufacturer_28,20-08-2024,19,349,522,479.67,467.54,4.92,101,0,ointment,antacid
BATCH_000083,DRUG_420,Manufacturer_9,23-05-2023,21,-45,489,256.26,212.28,4.44,65,0,ointment,antibiotic
BATCH_000084,DRUG_50,Manufacturer_12,17-02-2024,28,438,533,274.14,149.92,4.28,50,0,tablet,supplement
BATCH_000085,DRUG_360,Manufacturer_5,18-08-2022,14,-536,512,365.07,579.44,2.33,123,0,tablet,antacid
BATCH_000086,DRUG_388,Manufacturer_28,10-11-2024,20,461,524,234.06,556.3,2.81,72,0,tablet,antihistamine
BATCH_000087,DRUG_2,Manufacturer_35,31-07-2022,10,-676,496,103.15,108.16,2.55,161,1,tablet,antacid
BATCH_000088,DRUG_390,Manufacturer_5,03-08-2022,23,-277,484,376.01,544.61,4.94,166,0,injection,antifungal
BATCH_000089,DRUG_54,Manufacturer_34,26-02-2024,36,690,492,371.52,539.98,0.66,94,0,syrup,painkiller
BATCH_000090,DRUG_106,Manufacturer_46,18-05-2022,26,-263,523,130.04,398.91,2.22,48,1,syrup,antifungal
BATCH_000091,DRUG_260,Manufacturer_34,09-09-2023,25,186,480,418.13,341.36,4.86,174,0,tablet,antifungal
BATCH_000092,DRUG_310,Manufacturer_13,02-03-2025,13,360,511,310.69,169.59,2.16,35,0,syrup,painkiller
BATCH_000093,DRUG_477,Manufacturer_39,23-08-2023,20,16,501,125.79,116.76,2.29,21,1,syrup,antacid
BATCH_000094,DRUG_191,Manufacturer_42,03-12-2022,26,-64,464,329.5,383.5,3.34,76,0,tablet,supplement
BATCH_000095,DRUG_402,Manufacturer_45,11-10-2022,30,5,481,124.47,502.08,4.58,171,1,syrup,painkiller
BATCH_000096,DRUG_218,Manufacturer_48,10-12-2024,14,309,500,139.96,428.75,1.83,136,0,ointment,painkiller
BATCH_000097,DRUG_44,Manufacturer_14,23-08-2024,24,504,517,425.52,149.44,4.76,47,0,capsule,antihistamine
BATCH_000098,DRUG_162,Manufacturer_11,21-05-2022,34,-17,502,465.45,209.51,1.77,17,0,capsule,antacid
BATCH_000099,DRUG_202,Manufacturer_42,19-02-2024,31,531,483,135.87,350.53,4.17,89,0,tablet,painkiller
BATCH_000100,DRUG_446,Manufacturer_38,02-08-2022,36,117,507,464.75,393.75,1.74,125,0,injection,supplement
BATCH_000101,DRUG_484,Manufacturer_4,23-11-2023,27,321,514,127.01,89.74,0.83,156,0,tablet,antibiotic
BATCH_000102,DRUG_270,Manufacturer_33,08-03-2023,11,-426,458,67.46,387.73,4.16,175,1,injection,antacid
BATCH_000103,DRUG_351,Manufacturer_7,20-11-2024,9,136,543,38.53,454.98,2.53,139,0,capsule,antihistamine
BATCH_000104,DRUG_304,Manufacturer_41,16-03-2025,16,466,486,128.64,149.75,2.26,166,0,tablet,antifungal
BATCH_000105,DRUG_271,Manufacturer_8,08-12-2022,34,184,497,198.77,185.42,2.43,150,0,ointment,painkiller
BATCH_000106,DRUG_456,Manufacturer_37,24-04-2022,15,-622,491,464.5,192.39,3.25,18,0,syrup,supplement
BATCH_000107,DRUG_462,Manufacturer_10,09-08-2024,8,3,533,128.66,566.9,1.68,23,1,injection,antacid
BATCH_000108,DRUG_215,Manufacturer_43,09-06-2023,6,-485,552,189.08,273.86,1.57,106,1,syrup,supplement
BATCH_000109,DRUG_252,Manufacturer_15,18-05-2024,17,194,546,369.74,341.81,2.68,43,0,syrup,supplement
BATCH_000110,DRUG_190,Manufacturer_38,27-04-2024,28,508,443,158.02,448.37,0.66,93,0,tablet,antifungal
BATCH_000111,DRUG_296,Manufacturer_15,27-10-2022,20,-284,497,345.34,254.3,3.39,94,0,syrup,antihistamine
BATCH_000112,DRUG_213,Manufacturer_5,27-12-2023,20,142,511,221.72,108.06,4.2,48,0,ointment,antacid
BATCH_000113,DRUG_208,Manufacturer_29,21-12-2022,26,-46,516,106.26,409.88,3.77,110,1,syrup,painkiller
BATCH_000114,DRUG_237,Manufacturer_19,04-07-2022,19,-429,495,369.69,417,2.61,3,0,tablet,antihistamine
BATCH_000115,DRUG_338,Manufacturer_10,19-08-2024,31,713,475,23.25,193.3,3.04,61,0,ointment,painkiller
BATCH_000116,DRUG_367,Manufacturer_12,30-06-2024,36,815,456,153.24,69.38,0.62,17,0,capsule,antibiotic
BATCH_000117,DRUG_53,Manufacturer_4,18-12-2022,12,-475,508,184.53,415.94,4.61,108,1,syrup,supplement
BATCH_000118,DRUG_280,Manufacturer_31,24-12-2022,22,-165,475,234.53,436.88,3.01,127,0,tablet,antibiotic
BATCH_000119,DRUG_410,Manufacturer_18,24-04-2024,29,535,475,343.14,64.34,1.92,125,0,capsule,supplement
BATCH_000120,DRUG_217,Manufacturer_16,07-04-2024,24,366,483,235.11,431.25,1.82,63,0,capsule,antifungal
BATCH_000121,DRUG_252,Manufacturer_40,02-03-2024,12,-35,530,301.22,566.41,3.47,100,0,injection,antihistamine
BATCH_000122,DRUG_188,Manufacturer_36,31-10-2022,33,116,515,301.93,148.33,3.13,147,0,ointment,painkiller
BATCH_000123,DRUG_380,Manufacturer_25,19-02-2025,8,197,491,192.9,336.73,1.35,179,0,syrup,antifungal
BATCH_000124,DRUG_493,Manufacturer_23,22-02-2023,35,291,477,467.65,433.23,2.34,35,0,tablet,painkiller
BATCH_000125,DRUG_41,Manufacturer_12,28-05-2024,8,-70,461,478.37,176.54,3.54,47,0,injection,antihistamine
BATCH_000126,DRUG_157,Manufacturer_34,18-09-2022,31,12,556,295.11,463.35,1.84,95,0,ointment,antacid
BATCH_000127,DRUG_15,Manufacturer_36,29-03-2024,30,540,509,45.13,527.45,2.79,56,0,injection,antibiotic
BATCH_000128,DRUG_301,Manufacturer_37,18-01-2023,34,225,475,250.65,498,1.65,56,0,ointment,antibiotic
BATCH_000129,DRUG_65,Manufacturer_3,05-02-2025,23,640,532,100.37,192.39,0.82,90,0,ointment,painkiller
BATCH_000130,DRUG_345,Manufacturer_9,11-08-2022,35,96,507,246.78,492.32,2.25,168,0,syrup,painkiller
BATCH_000131,DRUG_327,Manufacturer_18,25-12-2024,25,659,516,102.36,277.34,3.79,52,0,ointment,painkiller
BATCH_000132,DRUG_9,Manufacturer_43,07-07-2024,27,548,524,354.89,196.55,1.46,87,0,injection,antihistamine
BATCH_000133,DRUG_344,Manufacturer_35,03-12-2022,19,-277,502,49.41,142.38,3.9,61,1,ointment,antacid
BATCH_000134,DRUG_129,Manufacturer_34,29-10-2022,8,-647,517,477.12,549.94,3.51,156,0,syrup,antibiotic
BATCH_000135,DRUG_492,Manufacturer_41,03-09-2022,33,58,486,105.73,284.79,2.78,38,1,syrup,antifungal
BATCH_000136,DRUG_136,Manufacturer_14,03-09-2024,31,728,513,333.72,526.15,4.87,81,0,injection,supplement
BATCH_000137,DRUG_472,Manufacturer_4,08-05-2024,35,732,475,459.31,137.75,4.48,9,0,capsule,antihistamine
BATCH_000138,DRUG_63,Manufacturer_29,24-04-2022,31,-135,482,131.46,471.85,3.03,55,1,capsule,antibiotic
BATCH_000139,DRUG_139,Manufacturer_41,25-01-2024,12,-72,466,467.81,110.51,3.01,8,0,ointment,antacid
BATCH_000140,DRUG_499,Manufacturer_45,25-03-2024,12,-12,520,200.45,59.66,1.75,177,0,tablet,antihistamine
BATCH_000141,DRUG_81,Manufacturer_50,13-02-2025,36,1043,486,480.66,597.28,4.64,11,0,ointment,antifungal
BATCH_000142,DRUG_392,Manufacturer_15,19-10-2022,10,-596,486,485.97,90.45,4.53,129,0,injection,antibiotic
BATCH_000143,DRUG_163,Manufacturer_28,01-02-2025,8,179,459,102.16,303.85,3.84,72,0,injection,antihistamine
BATCH_000144,DRUG_419,Manufacturer_42,12-04-2024,23,341,503,417.23,533.11,1.08,16,0,injection,antibiotic
BATCH_000145,DRUG_289,Manufacturer_16,17-04-2024,20,254,492,104.78,500.66,3.67,34,0,injection,antibiotic
BATCH_000146,DRUG_379,Manufacturer_12,02-09-2022,36,148,502,120.96,309.15,1.64,173,0,injection,antacid
BATCH_000147,DRUG_261,Manufacturer_5,24-07-2022,25,-226,514,51.22,385.97,1.35,86,1,syrup,supplement
BATCH_000148,DRUG_490,Manufacturer_34,16-11-2024,19,437,523,86.7,396.34,3.92,34,0,capsule,antacid
BATCH_000149,DRUG_231,Manufacturer_42,12-02-2024,36,676,532,319.79,110.4,4.82,33,0,injection,antibiotic
BATCH_000150,DRUG_41,Manufacturer_1,08-01-2023,34,215,533,230.13,206.7,0.99,10,0,tablet,antihistamine
BATCH_000151,DRUG_28,Manufacturer_39,26-07-2022,9,-712,496,397.56,215.54,1.24,109,0,tablet,antifungal
BATCH_000152,DRUG_135,Manufacturer_32,13-08-2023,32,372,542,172.68,257.97,1.49,130,0,tablet,antacid
BATCH_000153,DRUG_201,Manufacturer_26,19-08-2024,29,652,541,484.63,200.65,4.83,9,0,tablet,supplement
BATCH_000154,DRUG_328,Manufacturer_17,30-06-2023,13,-251,507,34.44,188.32,3.63,81,1,syrup,antibiotic
BATCH_000155,DRUG_268,Manufacturer_48,14-01-2025,34,952,488,40.84,245.13,3.55,81,0,tablet,antifungal
BATCH_000156,DRUG_418,Manufacturer_27,31-10-2024,26,634,514,353.67,258.57,2.77,11,0,injection,antacid
BATCH_000157,DRUG_33,Manufacturer_24,03-04-2025,18,544,486,444.89,317.97,2.92,117,0,ointment,antacid
BATCH_000158,DRUG_48,Manufacturer_35,07-07-2023,27,182,498,399.8,145.44,1.81,178,0,tablet,antacid
BATCH_000159,DRUG_407,Manufacturer_46,02-10-2024,13,209,520,250.01,483.59,1.2,82,0,syrup,antacid
BATCH_000160,DRUG_62,Manufacturer_42,07-08-2022,20,-365,527,142.12,523.37,4.01,96,1,syrup,antifungal
BATCH_000161,DRUG_216,Manufacturer_39,17-11-2022,22,-202,511,16.59,186.49,2.62,88,1,tablet,antihistamine
BATCH_000162,DRUG_293,Manufacturer_26,10-12-2024,10,187,501,259.63,117.82,1.65,107,0,ointment,supplement
BATCH_000163,DRUG_99,Manufacturer_49,02-07-2022,25,-248,489,243.06,447.27,3.35,1,0,tablet,supplement
BATCH_000164,DRUG_172,Manufacturer_38,18-06-2022,9,-750,499,178.68,558.33,1.44,1,1,syrup,antibiotic
BATCH_000165,DRUG_360,Manufacturer_23,11-02-2024,16,67,467,293.26,69.33,2.7,132,0,capsule,painkiller
BATCH_000166,DRUG_214,Manufacturer_22,17-11-2023,23,194,501,367.12,57.94,1.36,149,0,injection,antihistamine
BATCH_000167,DRUG_475,Manufacturer_4,20-12-2022,15,-382,480,353.44,150.88,3.92,160,0,syrup,antibiotic
BATCH_000168,DRUG_35,Manufacturer_49,09-10-2023,22,124,463,138.99,426.64,1.94,68,0,tablet,antibiotic
BATCH_000169,DRUG_449,Manufacturer_9,06-03-2025,35,1034,504,296.8,580.63,2.49,155,0,injection,antacid
BATCH_000170,DRUG_227,Manufacturer_4,21-08-2024,20,380,502,82.9,462.71,3.9,141,0,tablet,painkiller
BATCH_000171,DRUG_101,Manufacturer_7,10-06-2022,11,-697,505,69.58,365.17,3.47,103,1,tablet,painkiller
BATCH_000172,DRUG_431,Manufacturer_23,06-09-2022,28,-91,479,395.07,435.3,2.3,106,0,capsule,antihistamine
BATCH_000173,DRUG_462,Manufacturer_2,22-02-2025,26,748,501,349.94,176.88,0.82,49,0,injection,painkiller
BATCH_000174,DRUG_131,Manufacturer_49,17-04-2022,21,-446,498,386.29,428.7,4.65,168,0,injection,antibiotic
BATCH_000175,DRUG_257,Manufacturer_24,08-01-2023,20,-211,515,84.71,226.79,0.54,142,1,capsule,painkiller
BATCH_000176,DRUG_5,Manufacturer_40,09-11-2022,13,-484,481,458.16,172.33,3.81,67,0,syrup,painkiller
BATCH_000177,DRUG_218,Manufacturer_31,17-06-2022,14,-598,533,75.22,180.11,4.75,42,1,tablet,supplement
BATCH_000178,DRUG_255,Manufacturer_47,10-12-2022,16,-361,522,436.32,417.28,1.88,48,0,ointment,antibiotic
BATCH_000179,DRUG_398,Manufacturer_31,08-08-2022,32,2,503,182.67,471.97,0.84,145,1,tablet,antifungal
BATCH_000180,DRUG_359,Manufacturer_47,22-07-2024,7,-45,517,61.66,369.99,1.62,80,1,tablet,painkiller
BATCH_000181,DRUG_283,Manufacturer_40,29-10-2022,32,84,490,150.52,85.12,1.91,94,0,syrup,painkiller
BATCH_000182,DRUG_393,Manufacturer_48,28-12-2024,18,448,507,98.91,70.91,2.53,152,0,tablet,antacid
BATCH_000183,DRUG_207,Manufacturer_43,27-11-2024,9,143,504,250.43,169.44,2.86,139,0,capsule,painkiller
BATCH_000184,DRUG_15,Manufacturer_34,23-09-2022,32,48,473,475.38,207.56,3.76,46,0,capsule,painkiller
BATCH_000185,DRUG_346,Manufacturer_24,23-10-2022,14,-470,516,170.66,272.65,4.55,83,1,injection,supplement
BATCH_000186,DRUG_42,Manufacturer_49,02-09-2022,10,-643,497,309.93,91.82,2.59,92,0,ointment,antibiotic
BATCH_000187,DRUG_380,Manufacturer_26,26-06-2024,24,446,467,446.94,448.84,3.86,66,0,tablet,antihistamine
BATCH_000188,DRUG_461,Manufacturer_16,15-10-2024,27,648,504,318.74,441.32,1.07,59,0,tablet,antibiotic
BATCH_000189,DRUG_179,Manufacturer_47,31-10-2022,36,207,521,187.48,240.67,1.98,96,0,syrup,antacid
BATCH_000190,DRUG_63,Manufacturer_13,13-03-2023,8,-512,502,495.51,359.65,1.03,170,0,capsule,antibiotic
BATCH_000191,DRUG_352,Manufacturer_15,18-08-2023,35,468,464,101.83,105.5,3.61,164,0,ointment,painkiller
BATCH_000192,DRUG_231,Manufacturer_27,01-10-2023,26,238,560,266.4,278.37,4.58,159,0,injection,antacid
BATCH_000193,DRUG_241,Manufacturer_4,10-01-2024,8,-209,517,400.39,521.66,4.5,84,0,capsule,antibiotic
BATCH_000194,DRUG_52,Manufacturer_16,17-07-2024,11,71,489,10.32,413.34,1.97,179,0,injection,antacid
BATCH_000195,DRUG_96,Manufacturer_30,09-06-2023,33,337,524,354,107.17,1.55,52,0,syrup,antihistamine
BATCH_000196,DRUG_388,Manufacturer_44,03-10-2023,15,-95,509,140.58,516.17,1.73,104,1,syrup,antibiotic
BATCH_000197,DRUG_222,Manufacturer_30,20-05-2023,10,-383,461,93.17,424.38,1.79,71,1,tablet,antifungal
BATCH_000198,DRUG_485,Manufacturer_36,06-09-2023,35,487,515,144.36,299.18,0.87,129,0,ointment,painkiller
BATCH_000199,DRUG_407,Manufacturer_3,06-09-2023,30,335,516,483.74,430.65,1.1,175,0,injection,antacid
BATCH_000200,DRUG_231,Manufacturer_22,13-01-2024,8,-206,517,447.05,145.05,1.47,15,0,capsule,antifungal
BATCH_000201,DRUG_237,Manufacturer_49,28-09-2023,27,265,495,114.74,352.77,0.54,90,0,syrup,antifungal
BATCH_000202,DRUG_143,Manufacturer_22,20-10-2022,29,-17,510,67.34,389.86,0.71,163,1,tablet,supplement
BATCH_000203,DRUG_171,Manufacturer_50,04-02-2023,12,-427,462,188.43,560.26,3.64,137,1,tablet,antacid
BATCH_000204,DRUG_29,Manufacturer_50,26-10-2023,27,293,503,300.24,86.79,3.29,91,0,injection,antifungal
BATCH_000205,DRUG_36,Manufacturer_49,06-01-2023,35,244,480,434.9,256.13,4.75,80,0,syrup,supplement
BATCH_000206,DRUG_13,Manufacturer_12,13-10-2022,36,189,476,483.38,565.25,2.31,125,0,ointment,antifungal
BATCH_000207,DRUG_160,Manufacturer_21,01-06-2022,23,-340,499,378.07,169.47,2.5,88,0,syrup,painkiller
BATCH_000208,DRUG_327,Manufacturer_4,23-10-2022,36,199,473,303.51,497.26,0.8,145,0,injection,antihistamine
BATCH_000209,DRUG_187,Manufacturer_31,09-11-2022,28,-27,494,79.74,50.88,1.19,91,1,injection,supplement
BATCH_000210,DRUG_243,Manufacturer_44,25-10-2022,13,-499,519,46.27,64.24,3.61,1,1,syrup,antihistamine
BATCH_000211,DRUG_86,Manufacturer_31,30-09-2023,6,-372,507,302.05,230.19,1.56,127,0,injection,antacid
BATCH_000212,DRUG_284,Manufacturer_23,17-06-2023,36,436,504,274.14,472.68,3.98,39,0,syrup,painkiller
BATCH_000213,DRUG_66,Manufacturer_20,24-04-2024,30,566,521,424.58,107.28,3.68,41,0,capsule,supplement
BATCH_000214,DRUG_170,Manufacturer_15,16-08-2024,9,40,506,168.08,260.57,3.86,94,1,syrup,antacid
BATCH_000215,DRUG_45,Manufacturer_23,11-02-2025,29,828,526,29.45,122.31,3.61,152,0,syrup,antifungal
BATCH_000216,DRUG_62,Manufacturer_28,21-08-2022,36,136,516,217.62,172.98,3.68,128,0,injection,antibiotic
BATCH_000217,DRUG_441,Manufacturer_16,07-12-2024,31,823,492,484.9,326.65,2.96,15,0,injection,antacid
BATCH_000218,DRUG_134,Manufacturer_37,02-12-2022,12,-491,500,399.83,225.53,3.55,169,0,tablet,antihistamine
BATCH_000219,DRUG_284,Manufacturer_21,22-08-2023,19,-15,520,26.55,166.55,2.87,164,1,tablet,painkiller
BATCH_000220,DRUG_28,Manufacturer_15,12-10-2023,18,5,524,438.59,266.42,1.43,104,0,capsule,painkiller
BATCH_000221,DRUG_108,Manufacturer_17,17-06-2023,15,-203,513,241.13,435.58,1.48,36,0,tablet,antacid
